Name,Price,Rating,Processor,RAM,Storage,Operating_System,Other_Spec,URL,Description
DELL 15,31990.0,4.2,Intel Core i3 12th Gen,8 GB,512 GB SSD,Windows 11 Home,['Thin and Light'],https://www.flipkart.com/dell-15-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-3520-thin-light-laptop/p/itm5d692e615c97e?pid=COMH2F22XWP7DQFM&lid=LSTCOMH2F22XWP7DQFMJYD9JY&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_11&otracker=search&fm=organic&iid=en_9qEkbVbKGGbHZq43hKf4iq-Ty-10-0njCW_WtoFCKNxkbUnEQxcFkp_B7ldARdsaulalQWTmNNpLHqZL7mzq2evN4Mn-dv-pi277bRzMbnY%3D&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,"Intel Core i3 12th Gen, 8 GB, 512 GB SSD, Windows 11 Home, Thin and Light"
Lenovo IdeaPad 1,42990.0,4.2,AMD Ryzen 7 5700U,16 GB,512 GB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/lenovo-ideapad-1-amd-ryzen-7-octa-core-5700u-16-gb-512-gb-ssd-windows-11-home-15alc7-thin-light-laptop/p/itmd44c92b46b181?pid=COMHYG8ZDVPTUYYB&lid=LSTCOMHYG8ZDVPTUYYBQHTHWS&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_13&otracker=search&fm=organic&iid=c5958a17-34b8-446d-ae6b-ad3a6d08a98a.COMHYG8ZDVPTUYYB.SEARCH&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,"AMD Ryzen 7 5700U, 16 GB, 512 GB SSD, Windows 11 Home"
"ASUS Vivobook 15, with Backlit Keyboard,",45990.0,4.2,Intel Core i5 12th Gen,16 GB,512 GB SSD,Unknown,Unknown,https://www.flipkart.com/asus-vivobook-15-backlit-keyboard-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-x1504za-nj540ws-x1504za-nj542ws-thin-light-laptop/p/itm200184e4e0443?pid=COMHYG8ZSP9DC2GZ&lid=LSTCOMHYG8ZSP9DC2GZECEZQA&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_14&otracker=search&fm=organic&iid=c5958a17-34b8-446d-ae6b-ad3a6d08a98a.COMHYG8ZSP9DC2GZ.SEARCH&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,"Intel Core i5 12th Gen, 16 GB, 512 GB SSD"
SAMSUNG Galaxy Book4 Metal,59990.0,4.4,Intel Core i7 13th Gen,16 GB,512 GB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i7-13th-gen-1355u-16-gb-512-gb-ssd-windows-11-home-np750xgj-kg3in-np750xgj-lg3in-thin-light-laptop/p/itm820dc496ef160?pid=COMGZUYDYPUZAAXD&lid=LSTCOMGZUYDYPUZAAXDBMAOEF&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=default_BestsellerId_6bo%2Fb5g&srno=s_1_15&otracker=search&fm=organic&iid=c5958a17-34b8-446d-ae6b-ad3a6d08a98a.COMGZUYDYPUZAAXD.SEARCH&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,"Intel Core i7 13th Gen, 16 GB, 512 GB SSD, Windows 11 Home"
ASUS Vivobook 15,40990.0,4.2,Intel Core i5 12th Gen,8 GB,512 GB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/asus-vivobook-15-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-x1504za-nj527ws-x1504za-nj522ws-thin-light-laptop/p/itm200184e4e0443?pid=COMH4Y6KZGGKYCGP&lid=LSTCOMH4Y6KZGGKYCGP6QZMPB&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_16&otracker=search&fm=organic&iid=c5958a17-34b8-446d-ae6b-ad3a6d08a98a.COMH4Y6KZGGKYCGP.SEARCH&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,"Intel Core i5 12th Gen, 8 GB, 512 GB SSD, Windows 11 Home"
SAMSUNG Galaxy Book5 360 AI PC Full Metal Chasis,114990.0,4.9,Intel Core Ultra 5,16 GB,512 GB SSD,Unknown,Unknown,https://www.flipkart.com/samsung-galaxy-book5-360-ai-pc-full-metal-chasis-intel-core-ultra-5-226v-16-gb-512-gb-ssd-windows-11-home-np750qha-2-1-laptop/p/itmc76ec3e8002b4?pid=COMH9PHPRY2KUCGG&lid=LSTCOMH9PHPRY2KUCGGMW1YZ7&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_17&otracker=search&fm=organic&iid=en_9qEkbVbKGGbHZq43hKf4iq-Ty-10-0njCW_WtoFCKNxjdI3WDj2PrnGehlg7-YVPBMaPYk766nwLiBt-PWtSGK8iqbiwhGf4dwbXVx7ZSks%3D&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,"Intel Core Ultra 5, 16 GB, 512 GB SSD"
Lenovo IdeaPad Slim 3,48833.0,4.4,Intel Core i5 12th Gen,16 GB,512 GB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-thin-light-laptop/p/itm9c941ce3b0545?pid=COMH8VHGGJ9U4PCH&lid=LSTCOMH8VHGGJ9U4PCHUYSG5O&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_18&otracker=search&fm=organic&iid=en_9qEkbVbKGGbHZq43hKf4iq-Ty-10-0njCW_WtoFCKNyp8b79hsqZx6buxCvFqmqpxDwuFyBd_5ke5d8K9ha_K_KSJvID5C-RdFfAlzwDiqI%3D&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,"Intel Core i5 12th Gen, 16 GB, 512 GB SSD, Windows 11 Home"
Acer Aspire 3,40990.0,4.4,Intel Core i5 13th Gen,16 GB,512 GB SSD,Windows 11 Home,['Thin and Light'],https://www.flipkart.com/acer-aspire-3-intel-core-i5-13th-gen-1334u-16-gb-512-gb-ssd-windows-11-home-a324-53-thin-light-laptop/p/itm707770fddc7e9?pid=COMH4B6CGZKHKUV3&lid=LSTCOMH4B6CGZKHKUV37HVWQK&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_19&otracker=search&fm=organic&iid=c5958a17-34b8-446d-ae6b-ad3a6d08a98a.COMH4B6CGZKHKUV3.SEARCH&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,"Intel Core i5 13th Gen, 16 GB, 512 GB SSD, Windows 11 Home, Thin and Light"
Lenovo Yoga Slim 7,75900.0,4.4,Intel Core Ultra 5,16 GB,512 GB SSD,Windows 11 Home,['Thin and Light'],https://www.flipkart.com/lenovo-yoga-slim-7-intel-core-ultra-5-125h-16-gb-512-gb-ssd-windows-11-home-14imh9-thin-light-laptop/p/itm77304edff3814?pid=COMH3FFPG5KG2XZJ&lid=LSTCOMH3FFPG5KG2XZJUG3D93&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_20&otracker=search&fm=organic&iid=c5958a17-34b8-446d-ae6b-ad3a6d08a98a.COMH3FFPG5KG2XZJ.SEARCH&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,"Intel Core Ultra 5, 16 GB, 512 GB SSD, Windows 11 Home, Thin and Light"
HP,46190.0,4.3,Intel Core i5 12th Gen,16 GB,512 GB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/hp-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-15s-fq5330tu-15-fd0111tu-thin-light-laptop/p/itm5b5f94f7b044c?pid=COMGXNZGJV3MEMWM&lid=LSTCOMGXNZGJV3MEMWMMNYA0K&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_21&otracker=search&fm=organic&iid=en_9qEkbVbKGGbHZq43hKf4iq-Ty-10-0njCW_WtoFCKNyBFLmx-88z4fZLEb3gEc1N8rB70bNVCiCdgdy4lBudKfcUmN_6PwCReg_VTM4VLxo%3D&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,"Intel Core i5 12th Gen, 16 GB, 512 GB SSD, Windows 11 Home"
