name,price,rating,url,description
DELL 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 3520 Thin and Light Laptop,"₹31,990",4.2,https://www.flipkart.com/dell-15-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-3520-thin-light-laptop/p/itm5d692e615c97e?pid=COMH2F22XWP7DQFM&lid=LSTCOMH2F22XWP7DQFMJYD9JY&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_11&otracker=search&fm=organic&iid=en_9qEkbVbKGGbHZq43hKf4iq-Ty-10-0njCW_WtoFCKNxkbUnEQxcFkp_B7ldARdsaulalQWTmNNpLHqZL7mzq2evN4Mn-dv-pi277bRzMbnY%3D&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,No description available
DELL 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 3520 Thin and Light Laptop,"₹31,990",4.3,https://www.flipkart.com/dell-15-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-3520-thin-light-laptop/p/itm86b6eb68a0ca0?pid=COMH8EPFKG4RAVTE&lid=LSTCOMH8EPFKG4RAVTEEX64XZ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_12&otracker=search&fm=organic&iid=en_9qEkbVbKGGbHZq43hKf4iq-Ty-10-0njCW_WtoFCKNx3KZk1TKCnH7-kfDJ_Bz4tE5pcBHtVYUDMDIp7gfvc1WaRs4JL222ZRV-dN99QnxU%3D&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,No description available
Lenovo IdeaPad 1 AMD Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and Ligh...,"₹42,990",4.2,https://www.flipkart.com/lenovo-ideapad-1-amd-ryzen-7-octa-core-5700u-16-gb-512-gb-ssd-windows-11-home-15alc7-thin-light-laptop/p/itmd44c92b46b181?pid=COMHYG8ZDVPTUYYB&lid=LSTCOMHYG8ZDVPTUYYBQHTHWS&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_13&otracker=search&fm=organic&iid=c5958a17-34b8-446d-ae6b-ad3a6d08a98a.COMHYG8ZDVPTUYYB.SEARCH&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,No description available
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 H...","₹45,990",4.2,https://www.flipkart.com/asus-vivobook-15-backlit-keyboard-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-x1504za-nj540ws-x1504za-nj542ws-thin-light-laptop/p/itm200184e4e0443?pid=COMHYG8ZSP9DC2GZ&lid=LSTCOMHYG8ZSP9DC2GZECEZQA&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_14&otracker=search&fm=organic&iid=c5958a17-34b8-446d-ae6b-ad3a6d08a98a.COMHYG8ZSP9DC2GZ.SEARCH&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,No description available
SAMSUNG Galaxy Book4 Metal Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-...,"₹59,990",4.4,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i7-13th-gen-1355u-16-gb-512-gb-ssd-windows-11-home-np750xgj-kg3in-np750xgj-lg3in-thin-light-laptop/p/itm820dc496ef160?pid=COMGZUYDYPUZAAXD&lid=LSTCOMGZUYDYPUZAAXDBMAOEF&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=default_BestsellerId_6bo%2Fb5g&srno=s_1_15&otracker=search&fm=organic&iid=c5958a17-34b8-446d-ae6b-ad3a6d08a98a.COMGZUYDYPUZAAXD.SEARCH&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,No description available
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ527WS|X150...,"₹40,990",4.2,https://www.flipkart.com/asus-vivobook-15-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-x1504za-nj527ws-x1504za-nj522ws-thin-light-laptop/p/itm200184e4e0443?pid=COMH4Y6KZGGKYCGP&lid=LSTCOMH4Y6KZGGKYCGP6QZMPB&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_16&otracker=search&fm=organic&iid=c5958a17-34b8-446d-ae6b-ad3a6d08a98a.COMH4Y6KZGGKYCGP.SEARCH&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,No description available
SAMSUNG Galaxy Book5 360 AI PC Full Metal Chasis Intel Core Ultra 5 226V - (16 GB/512 GB SSD/Windows 1...,"₹1,14,990",4.9,https://www.flipkart.com/samsung-galaxy-book5-360-ai-pc-full-metal-chasis-intel-core-ultra-5-226v-16-gb-512-gb-ssd-windows-11-home-np750qha-2-1-laptop/p/itmc76ec3e8002b4?pid=COMH9PHPRY2KUCGG&lid=LSTCOMH9PHPRY2KUCGGMW1YZ7&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_17&otracker=search&fm=organic&iid=en_9qEkbVbKGGbHZq43hKf4iq-Ty-10-0njCW_WtoFCKNxjdI3WDj2PrnGehlg7-YVPBMaPYk766nwLiBt-PWtSGK8iqbiwhGf4dwbXVx7ZSks%3D&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,No description available
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) IdeaPad Slim ...,"₹48,833",4.4,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-thin-light-laptop/p/itm9c941ce3b0545?pid=COMH8VHGGJ9U4PCH&lid=LSTCOMH8VHGGJ9U4PCHUYSG5O&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_18&otracker=search&fm=organic&iid=en_9qEkbVbKGGbHZq43hKf4iq-Ty-10-0njCW_WtoFCKNyp8b79hsqZx6buxCvFqmqpxDwuFyBd_5ke5d8K9ha_K_KSJvID5C-RdFfAlzwDiqI%3D&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,No description available
Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,"₹40,990",4.4,https://www.flipkart.com/acer-aspire-3-intel-core-i5-13th-gen-1334u-16-gb-512-gb-ssd-windows-11-home-a324-53-thin-light-laptop/p/itm707770fddc7e9?pid=COMH4B6CGZKHKUV3&lid=LSTCOMH4B6CGZKHKUV37HVWQK&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_19&otracker=search&fm=organic&iid=c5958a17-34b8-446d-ae6b-ad3a6d08a98a.COMH4B6CGZKHKUV3.SEARCH&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,No description available
Lenovo Yoga Slim 7 Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Windows 11 Home) 14IMH9 Thin and Light ...,"₹75,900",4.4,https://www.flipkart.com/lenovo-yoga-slim-7-intel-core-ultra-5-125h-16-gb-512-gb-ssd-windows-11-home-14imh9-thin-light-laptop/p/itm77304edff3814?pid=COMH3FFPG5KG2XZJ&lid=LSTCOMH3FFPG5KG2XZJUG3D93&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_20&otracker=search&fm=organic&iid=c5958a17-34b8-446d-ae6b-ad3a6d08a98a.COMH3FFPG5KG2XZJ.SEARCH&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,No description available
